self.player_won ? 'WIN' : 'LOSS',self.total_gold_collected,self.steps_taken,self.deaths_by_pit,self.deaths_by_wumpus,self.num_pits,self.num_wumpus,self.gold_to_win,(self.initial_player_position != nil) ? int(self.initial_player_position.x) : 0,(self.initial_player_position != nil) ? int(self.initial_player_position.y) : 0,self.grid_size
WIN,3,10674,0,0,3,2,3,66,2,15
LOSS,2,5000,0,0,3,2,3,30,30,15
LOSS,0,11234,0,0,3,2,3,30,66,25
WIN,3,11705,0,0,3,2,3,38,26,25
WIN,3,10557,0,0,3,2,3,66,26,25
WIN,3,9961,0,0,3,2,3,70,98,25
WIN,3,5000,0,0,3,2,3,54,86,25
LOSS,2,10841,0,0,3,2,4,78,30,15
LOSS,2,10677,0,0,3,2,4,30,66,15
LOSS,2,11174,0,0,3,2,4,54,2,15
LOSS,2,10814,0,0,3,2,4,90,50,15
LOSS,1,5000,0,0,3,2,4,86,34,15
LOSS,0,10753,0,0,3,2,4,50,34,25
LOSS,0,10854,0,0,3,2,4,30,70,25
LOSS,3,10780,0,0,3,2,4,34,26,25
LOSS,1,10397,0,0,3,2,4,46,2,25
LOSS,2,5000,0,0,3,2,4,58,34,25
